,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
94,2014 Honda City i VTEC S,noida,55000 km•  Petrol•   Lajpat Nagar,5.1,sedan,manual,dealer,second-owner,red,['2014'],['Honda'],['Petrol'],['55000']
95,2008 Maruti Swift Dzire VXi,noida,64000 km•  Petrol•   Vikas Puri,1.8,sedan,manual,dealer,second-owner,red,['2008'],['Maruti'],['Petrol'],['64000']
96,2007 Maruti SX4 Zxi BSIII,noida,75000 km•  Petrol•   Bengali Market,1.24,sedan,manual,dealer,second-owner,red,['2007'],['Maruti'],['Petrol'],['75000']
97,2017 Maruti Ciaz VDi Option SHVS,noida,46000 km•  Diesel•   Rohini Sector 25,5.9,sedan,manual,dealer,first-owner,blue,['2017'],['Maruti'],['Diesel'],"['46000', '25']"
98,2018 Maruti Swift Dzire VDI,noida,23000 km•  Diesel•   Rajouri Garden,6.75,sedan,manual,dealer,first-owner,blue,['2018'],['Maruti'],['Diesel'],['23000']
99,2018 Maruti Swift Dzire VDI,noida,23000 km•  Diesel•   Ramesh Nagar,6.75,sedan,manual,dealer,first-owner,blue,['2018'],['Maruti'],['Diesel'],['23000']
100,2020 Maruti Ciaz 1.4 Delta,noida,1000 km•  Petrol•   Ramesh Nagar,9.25,sedan,manual,dealer,first-owner,blue,['2020'],['Maruti'],['Petrol'],['1000']
101,2017 Maruti Ciaz ZDi Plus SHVS,noida,62000 km•  Diesel•   Vikas Puri,7.65,sedan,manual,dealer,first-owner,blue,['2017'],['Maruti'],['Diesel'],['62000']
102,2020 Maruti Ciaz Petrol,noida,2100 km•  Diesel•   Vikas Puri,9,sedan,manual,dealer,first-owner,blue,['2020'],['Maruti'],['Diesel'],['2100']
103,2013 Volkswagen Vento 1.6 Comfortline BSIV,noida,47000 km•  Petrol•   Lajpat Nagar,4.25,sedan,manual,dealer,first-owner,blue,['2013'],['Volkswagen'],['Petrol'],['47000']
104,2019 Maruti Ciaz Alpha Diesel,noida,7080 km•  Diesel•   Karol Bagh,11.25,sedan,manual,dealer,first-owner,blue,['2019'],['Maruti'],['Diesel'],['7080']
105,2015 Volkswagen Jetta 2.0L TDI Comfortline,noida,65000 km•  Diesel•   Lajpat Nagar,7.5,sedan,manual,dealer,first-owner,blue,['2015'],['Volkswagen'],['Diesel'],['65000']
106,2015 Hyundai Xcent 1.2 Kappa Base,noida,46000 km•  Petrol•   Rohini Sector 5,3.75,sedan,manual,dealer,first-owner,blue,['2015'],['Hyundai'],['Petrol'],"['46000', '5']"
107,2015 Volkswagen Vento 1.5 TDI Highline BSIV,noida,86000 km•  Diesel•   Karam Pura,6.25,sedan,manual,dealer,first-owner,blue,['2015'],['Volkswagen'],['Diesel'],['86000']
108,2015 Tata Zest Revotron 1.2 XT,noida,75001 km•  Petrol•   Kalkaji,3.75,sedan,manual,dealer,first-owner,blue,['2015'],['Tata'],['Petrol'],['75001']
109,2014 Hyundai Xcent 1.2 Kappa SX,noida,45000 km•  Petrol•   Moti Nagar,4.15,sedan,manual,dealer,first-owner,blue,['2014'],['Hyundai'],['Petrol'],['45000']
110,2018 Maruti Swift Dzire VDI,noida,22000 km•  Diesel•   Ramesh Nagar,6.7,sedan,manual,dealer,first-owner,blue,['2018'],['Maruti'],['Diesel'],['22000']
