,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
58,2007 Honda Accord VTi-L (MT),delhi-ncr,65000 km•  Petrol•   Lajpat Nagar,1.75,sedan,manual,dealer,second-owner,white,['2007'],['Honda'],['Petrol'],['65000']
59,2012 Maruti Swift Dzire 1.2 Vxi BSIV,delhi-ncr,62000 km•  Petrol•   Karol Bagh,3.25,sedan,manual,dealer,second-owner,white,['2012'],['Maruti'],['Petrol'],['62000']
60,2011 Honda City 1.5 V MT Exclusive,delhi-ncr,70000 km•  Petrol,3.1,sedan,manual,individual,second-owner,white,['2011'],['Honda'],['Petrol'],['70000']
61,2013 Hyundai Verna 1.6 CRDi EX MT,delhi-ncr,55000 km•  Diesel,4.95,sedan,manual,individual,second-owner,white,['2013'],['Hyundai'],['Diesel'],['55000']
62,2013 Honda Amaze VX i-DTEC,delhi-ncr,52000 km•  Diesel,3.25,sedan,manual,individual,second-owner,white,['2013'],['Honda'],['Diesel'],['52000']
63,2014 Maruti Ciaz ZXi,delhi-ncr,50000 km•  Petrol,5.5,sedan,manual,individual,second-owner,white,['2014'],['Maruti'],['Petrol'],['50000']
64,2016 Maruti Ciaz VXi Option,delhi-ncr,75000 km•  Petrol,6,sedan,manual,individual,second-owner,white,['2016'],['Maruti'],['Petrol'],['75000']
65,2015 Honda Amaze E i-Vtech,delhi-ncr,50000 km•  Petrol,3.8,sedan,manual,individual,second-owner,white,['2015'],['Honda'],['Petrol'],['50000']
66,2016 Honda City i VTEC V,delhi-ncr,27500 km•  Petrol,8,sedan,manual,individual,second-owner,white,['2016'],['Honda'],['Petrol'],['27500']
67,2007 Honda City VTEC,delhi-ncr,100000 km•  Petrol,1.25,sedan,manual,individual,second-owner,white,['2007'],['Honda'],['Petrol'],['100000']
68,2012 Volkswagen Vento Diesel Trendline,delhi-ncr,100000 km•  Diesel,2.5,sedan,manual,individual,second-owner,white,['2012'],['Volkswagen'],['Diesel'],['100000']
69,2011 Maruti Swift Dzire VXi,delhi-ncr,70000 km•  Petrol,2.5,sedan,manual,individual,second-owner,white,['2011'],['Maruti'],['Petrol'],['70000']
70,2014 Maruti Swift Dzire LDI,delhi-ncr,160000 km•  Diesel,3.3,sedan,manual,individual,second-owner,white,['2014'],['Maruti'],['Diesel'],['160000']
71,2013 Honda Amaze VX i-DTEC,delhi-ncr,120000 km•  Diesel,3,sedan,manual,individual,second-owner,white,['2013'],['Honda'],['Diesel'],['120000']
72,2016 Honda Amaze S i-Vtech,delhi-ncr,67000 km•  Petrol,4,sedan,manual,individual,second-owner,white,['2016'],['Honda'],['Petrol'],['67000']
73,2010 Toyota Corolla Altis 1.8 G CNG,delhi-ncr,70000 km•  CNG,3.7,sedan,manual,individual,second-owner,white,['2010'],['Toyota'],['CNG'],['70000']
74,2013 Maruti Swift Dzire VXI,delhi-ncr,100000 km•  Petrol,3.67,sedan,manual,individual,second-owner,white,['2013'],['Maruti'],['Petrol'],['100000']
75,2016 Maruti Swift Dzire VXI,delhi-ncr,20000 km•  Petrol,5.5,sedan,manual,individual,second-owner,white,['2016'],['Maruti'],['Petrol'],['20000']
76,2013 Maruti Swift Dzire LDI,delhi-ncr,70000 km•  Diesel,2.45,sedan,manual,individual,second-owner,white,['2013'],['Maruti'],['Diesel'],['70000']
77,2011 Maruti Swift Dzire ZXi,delhi-ncr,60000 km•  Petrol,3,sedan,manual,individual,second-owner,white,['2011'],['Maruti'],['Petrol'],['60000']
78,2012 Maruti Swift Dzire VDi,delhi-ncr,61000 km•  Diesel,3.5,sedan,manual,individual,second-owner,white,['2012'],['Maruti'],['Diesel'],['61000']
79,2011 Hyundai Verna 1.4 VTVT,delhi-ncr,46000 km•  Petrol,4.3,sedan,manual,individual,second-owner,white,['2011'],['Hyundai'],['Petrol'],['46000']
80,2015 Honda Amaze S i-Vtech,delhi-ncr,75000 km•  Petrol•   Naraina,4.15,sedan,manual,dealer,third-owner-or-more,white,['2015'],['Honda'],['Petrol'],['75000']
81,2009 Fiat Linea T-Jet Emotion,delhi-ncr,61000 km•  Petrol•   Paschim Vihar,1.3,sedan,manual,dealer,third-owner-or-more,white,['2009'],['Fiat'],['Petrol'],['61000']
82,2008 Honda City GXi,delhi-ncr,80000 km•  Petrol•   Ramesh Nagar,1.5,sedan,manual,dealer,third-owner-or-more,white,['2008'],['Honda'],['Petrol'],['80000']
83,2009 Maruti SX4 Vxi BSIV,delhi-ncr,82000 km•  Petrol•   Kherla,1.55,sedan,manual,dealer,third-owner-or-more,white,['2009'],['Maruti'],['Petrol'],['82000']
84,2009 Hyundai Accent Executive,delhi-ncr,713336 km•  Petrol•   Jangpura,1.1,sedan,manual,dealer,third-owner-or-more,white,['2009'],['Hyundai'],['Petrol'],['713336']
85,2011 Hyundai Verna Transform SX VGT CRDi,delhi-ncr,150000 km•  Diesel,1.9,sedan,manual,individual,third-owner-or-more,white,['2011'],['Hyundai'],['Diesel'],['150000']
86,2010 Tata Indigo CR4,delhi-ncr,30000 km•  Diesel,2.3,sedan,manual,individual,third-owner-or-more,white,['2010'],['Tata'],['Diesel'],['30000']
87,2017 Maruti Ciaz 1.4 Zeta,delhi-ncr,44000 km•  Petrol•   Defence Colony,7.39,sedan,manual,dealer,first-owner,silver,['2017'],['Maruti'],['Petrol'],['44000']
88,2015 Hyundai Verna 1.6 SX VTVT (O),delhi-ncr,35000 km•  Petrol•   Chittranjan Park,6,sedan,manual,dealer,first-owner,silver,['2015'],['Hyundai'],['Petrol'],['35000']
89,2016 Honda City i VTEC VX Option,delhi-ncr,15000 km•  Petrol•   Ashok Vihar,8.75,sedan,manual,dealer,first-owner,silver,['2016'],['Honda'],['Petrol'],['15000']
90,2014 Chevrolet Sail 1.3 LS,delhi-ncr,78000 km•  Diesel•   Pandav Nagar,2.94,sedan,manual,dealer,first-owner,silver,['2014'],['Chevrolet'],['Diesel'],['78000']
91,2011 Toyota Corolla Altis Diesel D4DG,delhi-ncr,110000 km•  Diesel•   Vikas Puri,3.5,sedan,manual,dealer,first-owner,silver,['2011'],['Toyota'],['Diesel'],['110000']
92,2013 Honda Amaze EX i-Dtech,delhi-ncr,48000 km•  Diesel•   Mathura Road Faridabad,3.25,sedan,manual,dealer,first-owner,silver,['2013'],['Honda'],['Diesel'],['48000']
93,2017 Maruti Ciaz VDi Option SHVS,delhi-ncr,31000 km•  Diesel•   Lajpat Nagar,6.65,sedan,manual,dealer,first-owner,silver,['2017'],['Maruti'],['Diesel'],['31000']
94,2016 Maruti Ciaz VDi Plus SHVS,delhi-ncr,53485 km•  Diesel•   Bengali Market,6.25,sedan,manual,dealer,first-owner,silver,['2016'],['Maruti'],['Diesel'],['53485']
95,2012 Toyota Etios G Safety,delhi-ncr,81000 km•  Petrol•   Sector 19,2.5,sedan,manual,dealer,first-owner,silver,['2012'],['Toyota'],['Petrol'],"['81000', '19']"
96,2015 Mercedes-Benz New C-Class 180 elegance,delhi-ncr,12000 km•  Petrol•   Janakpuri,25,sedan,manual,dealer,first-owner,silver,['2015'],['Mercedes-Benz'],['Petrol'],['12000']
97,2013 Volkswagen Jetta 1.4 TSI Comfortline,delhi-ncr,30000 km•  Petrol•   Lajpat Nagar,5.75,sedan,manual,dealer,first-owner,silver,['2013'],['Volkswagen'],['Petrol'],['30000']
98,2011 Volkswagen Vento Petrol Highline,delhi-ncr,65000 km•  Petrol•   Sector 45,2.85,sedan,manual,dealer,first-owner,silver,['2011'],['Volkswagen'],['Petrol'],"['65000', '45']"
99,2017 Maruti Swift Dzire ZXI Plus BS IV,delhi-ncr,18000 km•  Petrol•   Ashok Vihar,7.65,sedan,manual,dealer,first-owner,silver,['2017'],['Maruti'],['Petrol'],['18000']
100,2012 Skoda Rapid 1.6 MPI Ambition,delhi-ncr,50000 km•  Petrol•   Lajpat Nagar,3.25,sedan,manual,dealer,first-owner,silver,['2012'],['Skoda'],['Petrol'],['50000']
101,2014 Honda City i DTec SV,delhi-ncr,55277 km•  Diesel•   Lajpat Nagar,5.3,sedan,manual,dealer,first-owner,silver,['2014'],['Honda'],['Diesel'],['55277']
102,2017 Maruti Ciaz Zeta,delhi-ncr,45000 km•  Petrol•   Defence Colony,7.3,sedan,manual,dealer,first-owner,silver,['2017'],['Maruti'],['Petrol'],['45000']
103,2013 Maruti Swift Dzire LDI,delhi-ncr,44000 km•  Diesel•   Defence Colony,4.95,sedan,manual,dealer,first-owner,silver,['2013'],['Maruti'],['Diesel'],['44000']
104,2015 Hyundai Verna SX Diesel,delhi-ncr,79000 km•  Diesel•   Kalkaji,5.65,sedan,manual,dealer,first-owner,silver,['2015'],['Hyundai'],['Diesel'],['79000']
